,,,,,,,,,,,,,,,,,,,,,,,,,,
,Opcode,PC Increment Control,PC Control,General Register Write Enable,Stack Write Enable,Stack Control,Write Data Control,ALU Source 1,ALU Source 2,ALU Control,Flags write enable,jump zero control,jump below control,jump below equal control,jump above control,jump above equal control,jump greater control,jump greater equal control,jump less control,jump less equal control,Memory Write Enable,General Register Result Select,enable_rtr,gpp_rtr_cp,gpp_rtr_dp,gpp_trf_dp
ld,000000,0,00,1,0,0,00,00,00,00,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
str,000001,0,00,0,0,0,00,00,00,00,0,0,0,0,0,0,0,0,0,0,1,00,0,0,0,0
add,000010,0,00,1,0,0,00,00,00,00,1,0,0,0,0,0,0,0,0,0,0,01,0,0,0,0
sub,000011,0,00,1,0,0,00,00,00,01,1,0,0,0,0,0,0,0,0,0,0,01,0,0,0,0
and,000100,0,00,1,0,0,00,00,00,10,1,0,0,0,0,0,0,0,0,0,0,01,0,0,0,0
or,000101,0,00,1,0,0,00,00,00,11,1,0,0,0,0,0,0,0,0,0,0,01,0,0,0,0
mov,000110,0,00,1,0,0,00,00,00,00,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
cmp,000111,0,00,0,0,0,00,00,00,01,1,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
jz,001000,1,00,0,0,0,00,00,00,00,0,1,0,0,0,0,0,0,0,0,0,00,0,0,0,0
jmp,001001,0,01,0,0,0,00,00,00,00,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
movi,001010,1,00,1,0,0,00,00,00,00,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
addi,001011,1,00,1,0,0,00,00,01,00,1,0,0,0,0,0,0,0,0,0,0,01,0,0,0,0
subi,001100,1,00,1,0,0,00,00,01,01,1,0,0,0,0,0,0,0,0,0,0,01,0,0,0,0
andi,001101,1,00,1,0,0,00,00,01,10,1,0,0,0,0,0,0,0,0,0,0,01,0,0,0,0
ori,001110,1,00,1,0,0,00,00,01,11,1,0,0,0,0,0,0,0,0,0,0,01,0,0,0,0
push,001111,0,00,0,1,0,00,00,10,00,0,0,0,0,0,0,0,0,0,0,1,00,0,0,0,0
pop,010000,0,00,1,1,1,00,00,10,01,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
call,010001,0,01,0,1,0,01,00,10,00,0,0,0,0,0,0,0,0,0,0,1,00,0,0,0,0
return,010010,0,10,0,1,1,00,00,10,01,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
jb,010011,1,00,0,0,0,00,00,00,00,0,0,1,0,0,0,0,0,0,0,0,00,0,0,0,0
jbe,010100,1,00,0,0,0,00,00,00,00,0,0,0,1,0,0,0,0,0,0,0,00,0,0,0,0
ja,010101,1,00,0,0,0,00,00,00,00,0,0,0,0,1,0,0,0,0,0,0,00,0,0,0,0
jae,010110,1,00,0,0,0,00,00,00,00,0,0,0,0,0,1,0,0,0,0,0,00,0,0,0,0
jg,010111,1,00,0,0,0,00,00,00,00,0,0,0,0,0,0,1,0,0,0,0,00,0,0,0,0
jge,011000,1,00,0,0,0,00,00,00,00,0,0,0,0,0,0,0,1,0,0,0,00,0,0,0,0
jl,011001,1,00,0,0,0,00,00,00,00,0,0,0,0,0,0,0,0,1,0,0,00,0,0,0,0
jle,011010,1,00,0,0,0,00,00,00,00,0,0,0,0,0,0,0,0,0,1,0,00,0,0,0,0
cbt,011011,0,00,0,0,0,00,01,10,01,1,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
trf,011100,0,00,1,1,1,00,00,10,01,0,0,0,0,0,0,0,0,0,0,0,00,0,0,0,1
pr,011101,0,00,0,0,0,00,00,00,00,0,0,0,0,0,0,0,0,0,0,0,00,1,1,0,0
cbr,011110,0,00,0,0,0,00,10,10,01,1,0,0,0,0,0,0,0,0,0,0,00,0,0,0,0
rtr,011111,0,00,0,1,0,10,00,10,00,0,0,0,0,0,0,0,0,0,0,1,00,0,0,1,0
rr,100000,0,00,0,0,0,00,00,00,00,0,0,0,0,0,0,0,0,0,0,0,00,1,0,0,0
